probe:18:45:10.09, resp:18:45:09.65, diff:-0.45
probe:19:24:02.47, resp:19:24:01.41, diff:-1.06
probe:19:24:07.47, resp:19:24:06.42, diff:-1.05
probe:19:24:12.47, resp:19:24:11.42, diff:-1.05
probe:19:24:17.47, resp:19:24:16.42, diff:-1.05
probe:19:24:22.47, resp:19:24:21.43, diff:-1.04
probe:19:24:27.47, resp:19:24:26.43, diff:-1.04
probe:19:24:32.47, resp:19:24:31.43, diff:-1.04
probe:19:24:37.47, resp:19:24:36.44, diff:-1.03
probe:19:24:42.47, resp:19:24:41.44, diff:-1.03
probe:19:24:47.47, resp:19:24:46.44, diff:-1.03
probe:19:24:52.47, resp:19:24:51.44, diff:-1.03
probe:19:24:57.47, resp:19:24:56.45, diff:-1.02
probe:19:25:02.47, resp:19:25:01.45, diff:-1.02
probe:19:25:07.48, resp:19:25:06.45, diff:-1.03
probe:19:25:12.48, resp:19:25:11.45, diff:-1.03
probe:19:25:17.48, resp:19:25:16.45, diff:-1.03
probe:19:25:22.48, resp:19:25:21.45, diff:-1.03
probe:19:25:27.48, resp:19:25:26.45, diff:-1.03
probe:19:25:32.48, resp:19:25:31.45, diff:-1.03
probe:19:25:37.48, resp:19:25:36.45, diff:-1.03
probe:19:25:42.48, resp:19:25:41.46, diff:-1.02
probe:19:25:47.48, resp:19:25:46.46, diff:-1.02
probe:19:25:52.48, resp:19:25:51.46, diff:-1.02
probe:19:25:57.48, resp:19:25:56.46, diff:-1.02
probe:19:26:02.48, resp:19:26:01.46, diff:-1.02
probe:19:26:07.48, resp:19:26:06.47, diff:-1.01
probe:19:26:12.48, resp:19:26:11.47, diff:-1.01
probe:19:26:17.48, resp:19:26:16.47, diff:-1.01
probe:19:26:22.48, resp:19:26:21.48, diff:-1.00
probe:19:26:27.48, resp:19:26:26.48, diff:-1.00
probe:19:26:32.48, resp:19:26:31.48, diff:-1.00
probe:19:26:37.48, resp:19:26:36.49, diff:-0.99
probe:19:26:42.48, resp:19:26:41.49, diff:-0.99
probe:19:26:47.48, resp:19:26:46.49, diff:-0.99
probe:19:26:52.49, resp:19:26:51.50, diff:-0.99
probe:19:26:57.49, resp:19:26:56.50, diff:-0.99
probe:19:27:02.49, resp:19:27:01.50, diff:-0.99
probe:19:27:07.49, resp:19:27:06.50, diff:-0.98
probe:19:27:12.49, resp:19:27:11.50, diff:-0.98
probe:19:27:17.49, resp:19:27:16.50, diff:-0.98
probe:19:27:22.49, resp:19:27:21.50, diff:-0.98
probe:19:27:27.49, resp:19:27:26.51, diff:-0.97
probe:19:27:32.49, resp:19:27:31.51, diff:-0.97
probe:19:27:37.49, resp:19:27:36.51, diff:-0.97
probe:19:27:42.49, resp:19:27:41.52, diff:-0.96
probe:19:27:47.49, resp:19:27:46.52, diff:-0.96
probe:19:27:52.49, resp:19:27:51.52, diff:-0.96
probe:19:27:57.49, resp:19:27:56.52, diff:-0.96
probe:19:28:02.49, resp:19:28:01.53, diff:-0.95
probe:19:28:07.49, resp:19:28:06.53, diff:-0.95
probe:19:28:12.49, resp:19:28:11.53, diff:-0.95
probe:19:28:17.49, resp:19:28:16.54, diff:-0.94
probe:19:28:22.49, resp:19:28:21.54, diff:-0.94
probe:19:28:27.49, resp:19:28:26.54, diff:-0.94
probe:19:28:32.49, resp:19:28:31.55, diff:-0.93
probe:19:28:37.49, resp:19:28:36.55, diff:-0.93
probe:19:28:42.49, resp:19:28:41.55, diff:-0.93
probe:19:28:47.49, resp:19:28:46.55, diff:-0.93
probe:19:28:52.49, resp:19:28:51.55, diff:-0.93
probe:19:28:57.49, resp:19:28:56.56, diff:-0.92
probe:19:29:02.49, resp:19:29:01.56, diff:-0.92
probe:19:29:07.49, resp:19:29:06.56, diff:-0.92
probe:19:29:12.49, resp:19:29:11.56, diff:-0.92
probe:19:29:17.49, resp:19:29:16.57, diff:-0.91
probe:19:29:22.49, resp:19:29:21.57, diff:-0.91
probe:19:29:27.50, resp:19:29:26.57, diff:-0.92
probe:19:29:32.50, resp:19:29:31.58, diff:-0.91
probe:19:29:37.50, resp:19:29:36.58, diff:-0.91
probe:19:29:42.50, resp:19:29:41.58, diff:-0.91
probe:19:29:47.50, resp:19:29:46.58, diff:-0.91
probe:19:29:52.50, resp:19:29:51.59, diff:-0.90
probe:19:29:57.50, resp:19:29:56.59, diff:-0.90
probe:19:30:02.50, resp:19:30:01.59, diff:-0.90
probe:19:30:07.50, resp:19:30:06.60, diff:-0.89
probe:19:30:12.50, resp:19:30:11.60, diff:-0.89
probe:19:30:17.50, resp:19:30:16.60, diff:-0.89
probe:19:30:22.50, resp:19:30:21.60, diff:-0.89
probe:19:30:27.50, resp:19:30:26.60, diff:-0.89
probe:19:30:32.50, resp:19:30:31.61, diff:-0.88
probe:19:30:37.50, resp:19:30:36.61, diff:-0.88
probe:19:30:42.50, resp:19:30:41.61, diff:-0.88
probe:19:30:47.50, resp:19:30:46.61, diff:-0.88
probe:19:30:52.50, resp:19:30:51.63, diff:-0.87
probe:19:30:57.50, resp:19:30:56.63, diff:-0.87
probe:19:31:02.50, resp:19:31:01.63, diff:-0.87
probe:19:31:07.50, resp:19:31:06.64, diff:-0.86
probe:19:31:12.50, resp:19:31:11.64, diff:-0.86
probe:19:31:17.50, resp:19:31:16.64, diff:-0.86
probe:19:31:22.50, resp:19:31:21.65, diff:-0.85
probe:19:31:27.50, resp:19:31:26.65, diff:-0.85
probe:19:31:32.50, resp:19:31:31.66, diff:-0.84
probe:19:31:37.50, resp:19:31:36.66, diff:-0.84
probe:19:31:42.50, resp:19:31:41.66, diff:-0.84
probe:19:31:47.50, resp:19:31:46.67, diff:-0.83
probe:19:31:52.50, resp:19:31:51.67, diff:-0.83
probe:19:31:57.50, resp:19:31:56.67, diff:-0.83
probe:19:32:02.50, resp:19:32:01.68, diff:-0.83
probe:19:32:07.50, resp:19:32:06.68, diff:-0.83
probe:19:32:12.50, resp:19:32:11.69, diff:-0.82
probe:19:32:17.50, resp:19:32:16.69, diff:-0.82
probe:19:32:22.50, resp:19:32:21.69, diff:-0.82
probe:19:32:27.50, resp:19:32:26.70, diff:-0.81
probe:19:32:32.50, resp:19:32:31.70, diff:-0.81
probe:19:32:37.50, resp:19:32:36.71, diff:-0.80
probe:19:32:42.50, resp:19:32:41.71, diff:-0.80
probe:19:32:47.50, resp:19:32:46.71, diff:-0.80
probe:19:32:52.50, resp:19:32:51.72, diff:-0.79
probe:19:32:57.50, resp:19:32:56.72, diff:-0.79
probe:19:33:02.50, resp:19:33:01.72, diff:-0.79
probe:19:33:07.50, resp:19:33:06.72, diff:-0.79
probe:19:33:12.50, resp:19:33:11.72, diff:-0.79
probe:19:33:17.50, resp:19:33:16.72, diff:-0.79
probe:19:33:22.50, resp:19:33:21.73, diff:-0.78
probe:19:33:27.50, resp:19:33:26.73, diff:-0.78
probe:19:33:32.50, resp:19:33:31.73, diff:-0.78
probe:19:33:37.50, resp:19:33:36.74, diff:-0.77
probe:19:33:42.50, resp:19:33:41.74, diff:-0.77
probe:19:33:47.50, resp:19:33:46.74, diff:-0.77
probe:19:33:52.50, resp:19:33:51.75, diff:-0.76
probe:19:33:57.50, resp:19:33:56.75, diff:-0.76
probe:19:34:02.50, resp:19:34:01.75, diff:-0.75
probe:19:34:07.50, resp:19:34:06.75, diff:-0.75
probe:19:34:12.50, resp:19:34:11.76, diff:-0.74
probe:19:34:17.50, resp:19:34:16.76, diff:-0.74
probe:19:34:22.50, resp:19:34:21.76, diff:-0.74
probe:19:34:27.50, resp:19:34:26.76, diff:-0.74
probe:19:34:32.50, resp:19:34:31.77, diff:-0.73
probe:19:34:37.50, resp:19:34:36.77, diff:-0.73
probe:19:34:42.50, resp:19:34:41.77, diff:-0.73
probe:19:34:47.50, resp:19:34:46.77, diff:-0.73
probe:19:34:52.50, resp:19:34:51.78, diff:-0.72
probe:19:34:57.51, resp:19:34:56.78, diff:-0.73
probe:19:35:02.51, resp:19:35:01.78, diff:-0.73
probe:19:35:07.51, resp:19:35:06.78, diff:-0.73
probe:19:35:12.51, resp:19:35:11.78, diff:-0.73
probe:19:35:17.51, resp:19:35:16.78, diff:-0.73
probe:19:35:22.51, resp:19:35:21.78, diff:-0.73
probe:19:35:27.51, resp:19:35:26.78, diff:-0.73
probe:19:35:32.51, resp:19:35:31.78, diff:-0.73
probe:19:35:37.51, resp:19:35:36.77, diff:-0.74
probe:19:35:42.51, resp:19:35:41.77, diff:-0.74
probe:19:35:47.51, resp:19:35:46.77, diff:-0.74
probe:19:35:52.51, resp:19:35:51.78, diff:-0.73
probe:19:35:57.51, resp:19:35:56.78, diff:-0.73
probe:19:36:02.51, resp:19:36:01.79, diff:-0.72
probe:19:36:07.51, resp:19:36:06.79, diff:-0.72
probe:19:36:12.51, resp:19:36:11.79, diff:-0.72
probe:19:36:17.51, resp:19:36:16.80, diff:-0.71
probe:19:36:22.51, resp:19:36:21.80, diff:-0.71
probe:19:36:27.51, resp:19:36:26.80, diff:-0.71
probe:19:36:32.51, resp:19:36:31.81, diff:-0.70
probe:19:36:37.51, resp:19:36:36.81, diff:-0.70
probe:19:36:42.51, resp:19:36:41.81, diff:-0.70
probe:19:36:47.51, resp:19:36:46.82, diff:-0.69
probe:19:36:52.51, resp:19:36:51.82, diff:-0.69
probe:19:36:57.51, resp:19:36:56.83, diff:-0.68
probe:19:37:02.51, resp:19:37:01.83, diff:-0.68
probe:19:37:07.51, resp:19:37:06.83, diff:-0.68
probe:19:37:12.51, resp:19:37:11.84, diff:-0.67
probe:19:37:17.51, resp:19:37:16.84, diff:-0.67
probe:19:37:22.51, resp:19:37:21.85, diff:-0.66
probe:19:37:27.51, resp:19:37:26.85, diff:-0.66
probe:19:37:32.51, resp:19:37:31.85, diff:-0.66
probe:19:37:37.51, resp:19:37:36.86, diff:-0.65
probe:19:37:42.51, resp:19:37:41.86, diff:-0.65
probe:19:37:47.51, resp:19:37:46.86, diff:-0.65
probe:19:37:52.52, resp:19:37:51.86, diff:-0.66
probe:19:37:57.52, resp:19:37:56.86, diff:-0.66
probe:19:38:02.52, resp:19:38:01.86, diff:-0.66
probe:19:38:07.52, resp:19:38:06.86, diff:-0.66
probe:19:38:12.52, resp:19:38:11.86, diff:-0.66
probe:19:38:17.52, resp:19:38:16.86, diff:-0.66
probe:19:38:22.52, resp:19:38:21.86, diff:-0.66
probe:19:38:27.52, resp:19:38:26.85, diff:-0.67
probe:19:38:32.52, resp:19:38:31.85, diff:-0.67
probe:19:38:37.52, resp:19:38:36.85, diff:-0.67
probe:19:38:42.52, resp:19:38:41.85, diff:-0.67
probe:19:38:47.52, resp:19:38:46.85, diff:-0.67
probe:19:38:52.52, resp:19:38:51.85, diff:-0.67
probe:19:38:57.52, resp:19:38:56.85, diff:-0.67
probe:19:39:02.52, resp:19:39:01.84, diff:-0.68
probe:19:39:07.52, resp:19:39:06.85, diff:-0.67
probe:19:39:12.52, resp:19:39:11.84, diff:-0.68
probe:19:39:17.52, resp:19:39:16.84, diff:-0.68
probe:19:39:22.52, resp:19:39:21.85, diff:-0.67
probe:19:39:27.52, resp:19:39:26.85, diff:-0.67
probe:19:39:32.52, resp:19:39:31.86, diff:-0.66
probe:19:39:37.52, resp:19:39:36.85, diff:-0.67
probe:19:39:42.52, resp:19:39:41.85, diff:-0.67
probe:19:39:47.52, resp:19:39:46.85, diff:-0.67
probe:19:39:52.52, resp:19:39:51.86, diff:-0.66
probe:19:39:57.52, resp:19:39:56.86, diff:-0.66
probe:19:40:02.52, resp:19:40:01.86, diff:-0.66
probe:19:40:07.52, resp:19:40:06.88, diff:-0.65
probe:19:40:12.53, resp:19:40:11.88, diff:-0.66
probe:19:40:17.53, resp:19:40:16.88, diff:-0.66
probe:19:40:22.53, resp:19:40:21.89, diff:-0.65
probe:19:40:27.53, resp:19:40:26.89, diff:-0.65
probe:19:40:32.53, resp:19:40:31.89, diff:-0.65
probe:19:40:37.53, resp:19:40:36.90, diff:-0.64
probe:19:40:42.53, resp:19:40:41.90, diff:-0.64
probe:19:40:47.53, resp:19:40:46.90, diff:-0.64
probe:19:40:52.53, resp:19:40:51.91, diff:-0.63
probe:19:40:57.53, resp:19:40:56.91, diff:-0.63
probe:19:41:02.53, resp:19:41:01.92, diff:-0.62
probe:19:41:07.53, resp:19:41:06.92, diff:-0.62
probe:19:41:12.53, resp:19:41:11.93, diff:-0.61
probe:19:41:17.53, resp:19:41:16.93, diff:-0.61
probe:19:41:22.53, resp:19:41:21.93, diff:-0.61
probe:19:41:27.53, resp:19:41:26.94, diff:-0.60
probe:19:41:32.53, resp:19:41:31.94, diff:-0.60
probe:19:41:37.53, resp:19:41:36.94, diff:-0.60
probe:19:41:42.53, resp:19:41:41.94, diff:-0.60
probe:19:41:47.53, resp:19:41:46.94, diff:-0.60
probe:19:41:52.53, resp:19:41:51.94, diff:-0.60
probe:19:41:57.53, resp:19:41:56.94, diff:-0.60
probe:19:42:02.53, resp:19:42:01.94, diff:-0.60
probe:19:42:07.53, resp:19:42:06.94, diff:-0.60
probe:19:42:12.53, resp:19:42:11.94, diff:-0.60
probe:19:42:17.54, resp:19:42:16.94, diff:-0.61
probe:19:42:22.54, resp:19:42:21.94, diff:-0.61
probe:19:42:27.54, resp:19:42:26.94, diff:-0.61
probe:19:42:32.54, resp:19:42:31.94, diff:-0.61
probe:19:42:37.54, resp:19:42:36.93, diff:-0.62
probe:19:42:42.54, resp:19:42:41.93, diff:-0.62
probe:19:42:47.54, resp:19:42:46.94, diff:-0.61
probe:19:42:52.54, resp:19:42:51.94, diff:-0.61
probe:19:42:57.54, resp:19:42:56.94, diff:-0.61
probe:19:43:02.54, resp:19:43:01.95, diff:-0.60
probe:19:43:07.54, resp:19:43:06.95, diff:-0.60
probe:19:43:12.54, resp:19:43:11.95, diff:-0.60
probe:19:43:17.54, resp:19:43:16.96, diff:-0.59
probe:19:43:22.54, resp:19:43:21.96, diff:-0.59
probe:19:43:27.54, resp:19:43:26.97, diff:-0.58
probe:19:43:32.54, resp:19:43:31.97, diff:-0.58
probe:19:43:37.54, resp:19:43:36.98, diff:-0.57
probe:19:43:42.54, resp:19:43:41.98, diff:-0.57
probe:19:43:47.54, resp:19:43:46.99, diff:-0.56
probe:19:43:52.54, resp:19:43:51.99, diff:-0.56
probe:19:43:57.54, resp:19:43:56.99, diff:-0.56
probe:19:44:02.54, resp:19:44:02.00, diff:-0.55
probe:19:44:07.54, resp:19:44:07.00, diff:-0.55
probe:19:44:12.54, resp:19:44:12.00, diff:-0.54
probe:19:44:17.54, resp:19:44:17.00, diff:-0.54
probe:19:44:22.54, resp:19:44:22.01, diff:-0.53
probe:19:44:27.54, resp:19:44:27.01, diff:-0.53
probe:19:44:32.54, resp:19:44:32.02, diff:-0.52
probe:19:44:37.55, resp:19:44:37.02, diff:-0.53
probe:19:44:42.55, resp:19:44:42.02, diff:-0.53
probe:19:44:47.55, resp:19:44:47.03, diff:-0.52
probe:19:44:52.55, resp:19:44:52.03, diff:-0.52
probe:19:44:57.55, resp:19:44:57.04, diff:-0.51
probe:19:45:02.55, resp:19:45:02.04, diff:-0.51
probe:19:45:07.55, resp:19:45:07.05, diff:-0.50
probe:19:45:12.55, resp:19:45:12.05, diff:-0.50
probe:19:45:17.55, resp:19:45:17.05, diff:-0.50
probe:19:45:22.55, resp:19:45:22.05, diff:-0.50
probe:19:45:27.55, resp:19:45:27.05, diff:-0.50
probe:19:45:32.55, resp:19:45:32.05, diff:-0.50
probe:19:45:37.55, resp:19:45:37.05, diff:-0.50
probe:19:45:42.55, resp:19:45:42.05, diff:-0.50
probe:19:45:47.55, resp:19:45:47.05, diff:-0.50
probe:19:45:52.55, resp:19:45:52.05, diff:-0.50
probe:19:45:57.55, resp:19:45:57.04, diff:-0.51
probe:19:46:02.55, resp:19:46:02.04, diff:-0.51
probe:19:46:07.55, resp:19:46:07.04, diff:-0.51
probe:19:46:12.55, resp:19:46:12.04, diff:-0.51
probe:19:46:17.55, resp:19:46:17.04, diff:-0.51
probe:19:46:22.55, resp:19:46:22.05, diff:-0.50
probe:19:46:27.55, resp:19:46:27.04, diff:-0.51
probe:19:46:32.55, resp:19:46:32.04, diff:-0.51
probe:19:46:37.55, resp:19:46:37.05, diff:-0.50
probe:19:46:42.55, resp:19:46:42.05, diff:-0.50
probe:19:46:47.55, resp:19:46:47.04, diff:-0.51
probe:19:46:52.55, resp:19:46:52.05, diff:-0.50
probe:19:46:57.55, resp:19:46:57.05, diff:-0.50
probe:19:47:02.55, resp:19:47:02.04, diff:-0.51
probe:19:47:07.55, resp:19:47:07.05, diff:-0.50
probe:19:47:12.56, resp:19:47:12.05, diff:-0.51
probe:19:47:17.56, resp:19:47:17.05, diff:-0.51
probe:19:47:22.56, resp:19:47:22.05, diff:-0.51
probe:19:47:27.56, resp:19:47:27.06, diff:-0.50
probe:19:47:32.56, resp:19:47:32.06, diff:-0.50
probe:19:47:37.56, resp:19:47:37.07, diff:-0.49
probe:19:47:42.56, resp:19:47:42.07, diff:-0.49
probe:19:47:47.56, resp:19:47:47.07, diff:-0.49
probe:19:47:52.56, resp:19:47:52.08, diff:-0.48
probe:19:47:57.56, resp:19:47:57.09, diff:-0.47
probe:19:48:02.57, resp:19:48:02.09, diff:-0.48
probe:19:48:07.57, resp:19:48:07.09, diff:-0.48
probe:19:48:12.57, resp:19:48:12.10, diff:-0.47
probe:19:48:17.57, resp:19:48:17.10, diff:-0.47
probe:19:48:22.57, resp:19:48:22.11, diff:-0.46
probe:19:48:27.57, resp:19:48:27.11, diff:-0.46
probe:19:48:32.58, resp:19:48:32.13, diff:-0.46
probe:19:48:37.58, resp:19:48:37.13, diff:-0.46
probe:19:48:42.58, resp:19:48:42.14, diff:-0.45
probe:19:48:47.58, resp:19:48:47.15, diff:-0.44
probe:19:48:52.58, resp:19:48:52.15, diff:-0.44
probe:19:48:57.58, resp:19:48:57.15, diff:-0.44
probe:19:49:02.58, resp:19:49:02.16, diff:-0.43
probe:19:49:07.59, resp:19:49:07.16, diff:-0.44
probe:19:49:12.59, resp:19:49:12.17, diff:-0.43
probe:19:49:17.59, resp:19:49:17.17, diff:-0.43
probe:19:49:22.59, resp:19:49:22.17, diff:-0.43
probe:19:49:27.59, resp:19:49:27.18, diff:-0.42
probe:19:49:32.59, resp:19:49:32.19, diff:-0.41
probe:19:49:37.59, resp:19:49:37.18, diff:-0.42
probe:19:49:42.60, resp:19:49:42.19, diff:-0.42
probe:19:49:47.60, resp:19:49:47.19, diff:-0.42
probe:19:49:52.60, resp:19:49:52.20, diff:-0.41
probe:19:49:57.60, resp:19:49:57.20, diff:-0.41
probe:19:50:02.60, resp:19:50:02.21, diff:-0.40
probe:19:50:07.60, resp:19:50:07.21, diff:-0.40
probe:19:50:12.61, resp:19:50:12.22, diff:-0.40
probe:19:50:17.61, resp:19:50:17.22, diff:-0.40
probe:19:50:22.61, resp:19:50:22.22, diff:-0.40
probe:19:50:27.61, resp:19:50:27.23, diff:-0.39
probe:19:50:32.61, resp:19:50:32.24, diff:-0.38
probe:19:50:37.61, resp:19:50:37.24, diff:-0.38
probe:19:50:42.61, resp:19:50:42.24, diff:-0.38
probe:19:10:42.44, resp:19:50:47.25, diff:+2404.81
probe:19:10:47.44, resp:19:50:52.25, diff:+2404.82
probe:19:10:52.44, resp:19:50:57.26, diff:+2404.83
probe:19:10:57.44, resp:19:51:02.26, diff:+2404.83
probe:19:51:09.25, resp:19:51:07.26, diff:-1.98
probe:19:51:14.25, resp:19:51:12.27, diff:-1.97
probe:19:51:19.25, resp:19:51:17.27, diff:-1.97
probe:19:51:24.25, resp:19:51:22.27, diff:-1.97
probe:19:51:29.25, resp:19:51:27.28, diff:-1.96
probe:19:51:34.25, resp:19:51:32.28, diff:-1.96
probe:19:51:39.25, resp:19:51:37.29, diff:-1.95
probe:19:51:44.25, resp:19:51:42.29, diff:-1.95
probe:19:51:49.25, resp:19:51:47.30, diff:-1.94
probe:19:51:54.25, resp:19:51:52.31, diff:-1.93
probe:19:51:59.25, resp:19:51:57.31, diff:-1.94
probe:19:52:04.25, resp:19:52:02.31, diff:-1.94
probe:19:52:09.25, resp:19:52:07.32, diff:-1.93
probe:19:52:14.25, resp:19:52:12.32, diff:-1.93
probe:19:52:19.25, resp:19:52:17.33, diff:-1.92
probe:19:52:24.25, resp:19:52:22.33, diff:-1.92
probe:19:52:29.25, resp:19:52:27.33, diff:-1.92
probe:19:52:34.25, resp:19:52:32.33, diff:-1.92
probe:19:52:39.25, resp:19:52:37.33, diff:-1.92
probe:19:52:44.25, resp:19:52:42.33, diff:-1.92
probe:19:52:49.25, resp:19:52:47.33, diff:-1.92
probe:19:52:54.25, resp:19:52:52.33, diff:-1.92
probe:19:52:59.25, resp:19:52:57.33, diff:-1.92
probe:19:53:04.25, resp:19:53:02.33, diff:-1.92
probe:19:53:09.26, resp:19:53:07.34, diff:-1.92
probe:19:53:14.26, resp:19:53:12.33, diff:-1.93
probe:19:53:19.26, resp:19:53:17.33, diff:-1.93
probe:19:53:24.26, resp:19:53:22.34, diff:-1.92
probe:19:53:29.26, resp:19:53:27.34, diff:-1.92
probe:19:53:34.26, resp:19:53:32.33, diff:-1.93
probe:19:53:39.26, resp:19:53:37.34, diff:-1.92
probe:19:53:44.26, resp:19:53:42.34, diff:-1.92
probe:19:53:49.26, resp:19:53:47.33, diff:-1.93
probe:19:53:54.26, resp:19:53:52.34, diff:-1.92
probe:19:53:59.26, resp:19:53:57.34, diff:-1.92
probe:19:54:04.26, resp:19:54:02.33, diff:-1.93
probe:19:54:09.26, resp:19:54:07.34, diff:-1.92
probe:19:54:14.26, resp:19:54:12.34, diff:-1.92
probe:19:54:19.26, resp:19:54:17.34, diff:-1.92
probe:19:54:24.26, resp:19:54:22.34, diff:-1.92
probe:19:54:29.26, resp:19:54:27.35, diff:-1.91
probe:19:54:34.26, resp:19:54:32.35, diff:-1.91
probe:19:54:39.26, resp:19:54:37.36, diff:-1.90
probe:19:54:44.26, resp:19:54:42.36, diff:-1.90
probe:19:54:49.26, resp:19:54:47.38, diff:-1.89
probe:19:54:54.26, resp:19:54:52.38, diff:-1.89
probe:19:54:59.26, resp:19:54:57.39, diff:-1.88
probe:19:55:04.26, resp:19:55:02.39, diff:-1.88
probe:19:55:09.26, resp:19:55:07.40, diff:-1.87
probe:19:55:14.27, resp:19:55:12.40, diff:-1.88
probe:19:55:19.27, resp:19:55:17.40, diff:-1.88
probe:19:55:24.27, resp:19:55:22.41, diff:-1.87
probe:19:55:29.27, resp:19:55:27.42, diff:-1.86
probe:19:55:34.27, resp:19:55:32.42, diff:-1.86
probe:19:55:39.27, resp:19:55:37.42, diff:-1.86
probe:19:55:44.27, resp:19:55:42.43, diff:-1.85
probe:19:55:49.27, resp:19:55:47.43, diff:-1.85
probe:19:55:54.27, resp:19:55:52.44, diff:-1.84
probe:19:55:59.27, resp:19:55:57.44, diff:-1.84
probe:19:56:04.27, resp:19:56:02.45, diff:-1.83
probe:19:56:09.27, resp:19:56:07.44, diff:-1.84
probe:19:56:14.27, resp:19:56:12.45, diff:-1.83
probe:19:56:19.27, resp:19:56:17.45, diff:-1.83
probe:19:56:24.27, resp:19:56:22.45, diff:-1.83
probe:19:56:29.27, resp:19:56:27.45, diff:-1.83
probe:19:56:34.27, resp:19:56:32.45, diff:-1.83
probe:19:56:39.27, resp:19:56:37.45, diff:-1.83
probe:19:56:44.27, resp:19:56:42.46, diff:-1.82
probe:19:56:49.27, resp:19:56:47.47, diff:-1.81
probe:19:56:54.27, resp:19:56:52.47, diff:-1.81
probe:19:56:59.27, resp:19:56:57.48, diff:-1.80
probe:19:57:04.27, resp:19:57:02.48, diff:-1.80
probe:19:57:09.27, resp:19:57:07.48, diff:-1.80
probe:19:57:14.27, resp:19:57:12.49, diff:-1.79
probe:19:57:19.27, resp:19:57:17.50, diff:-1.78
probe:19:57:24.27, resp:19:57:22.50, diff:-1.78
probe:19:57:29.27, resp:19:57:27.50, diff:-1.77
probe:19:57:34.28, resp:19:57:32.50, diff:-1.78
probe:19:57:39.28, resp:19:57:37.51, diff:-1.77
probe:19:57:44.28, resp:19:57:42.51, diff:-1.77
probe:19:57:49.28, resp:19:57:47.52, diff:-1.76
probe:19:57:54.28, resp:19:57:52.52, diff:-1.76
probe:19:57:59.28, resp:19:57:57.53, diff:-1.75
probe:19:58:04.28, resp:19:58:02.53, diff:-1.75
probe:19:58:09.28, resp:19:58:07.54, diff:-1.74
probe:19:58:14.28, resp:19:58:12.54, diff:-1.74
probe:19:58:19.28, resp:19:58:17.55, diff:-1.73
probe:19:58:24.28, resp:19:58:22.55, diff:-1.73
probe:19:58:29.28, resp:19:58:27.55, diff:-1.73
probe:19:58:34.28, resp:19:58:32.56, diff:-1.72
probe:19:58:39.28, resp:19:58:37.57, diff:-1.71
probe:19:58:44.28, resp:19:58:42.57, diff:-1.71
probe:19:58:49.28, resp:19:58:47.58, diff:-1.70
probe:19:58:54.28, resp:19:58:52.58, diff:-1.70
probe:19:58:59.28, resp:19:58:57.58, diff:-1.70
probe:19:59:04.28, resp:19:59:02.59, diff:-1.69
probe:19:59:09.28, resp:19:59:07.60, diff:-1.68
probe:19:59:14.28, resp:19:59:12.60, diff:-1.68
probe:19:59:19.28, resp:19:59:17.61, diff:-1.67
probe:19:59:24.28, resp:19:59:22.61, diff:-1.67
probe:19:59:29.29, resp:19:59:27.61, diff:-1.68
probe:19:59:34.29, resp:19:59:32.63, diff:-1.67
probe:19:59:39.29, resp:19:59:37.63, diff:-1.67
probe:19:59:44.29, resp:19:59:42.63, diff:-1.67
probe:19:59:49.29, resp:19:59:47.63, diff:-1.67
probe:19:59:54.29, resp:19:59:52.63, diff:-1.67
probe:19:59:59.29, resp:19:59:57.63, diff:-1.67
probe:20:00:04.29, resp:20:00:02.63, diff:-1.67
probe:20:00:09.29, resp:20:00:07.63, diff:-1.67
probe:20:00:14.29, resp:20:00:12.63, diff:-1.67
probe:20:00:19.29, resp:20:00:17.63, diff:-1.67
probe:20:00:24.29, resp:20:00:22.63, diff:-1.67
probe:20:00:29.29, resp:20:00:27.63, diff:-1.67
probe:20:00:34.29, resp:20:00:32.63, diff:-1.67
probe:20:00:39.29, resp:20:00:37.63, diff:-1.67
probe:20:00:44.29, resp:20:00:42.63, diff:-1.67
probe:20:00:49.30, resp:20:00:47.63, diff:-1.68
probe:20:00:54.30, resp:20:00:52.63, diff:-1.68
probe:20:00:59.30, resp:20:00:57.63, diff:-1.68
probe:20:01:04.30, resp:20:01:02.63, diff:-1.68
probe:20:01:09.30, resp:20:01:07.63, diff:-1.68
probe:20:01:14.30, resp:20:01:12.64, diff:-1.67
probe:20:01:19.30, resp:20:01:17.64, diff:-1.67
probe:20:01:24.30, resp:20:01:24.76, diff:+0.46
probe:20:01:29.30, resp:20:01:29.76, diff:+0.46
probe:20:01:34.31, resp:20:01:34.76, diff:+0.45
probe:20:01:39.31, resp:20:01:39.76, diff:+0.45
probe:20:01:44.31, resp:20:01:44.77, diff:+0.46
probe:20:01:49.32, resp:20:01:49.77, diff:+0.45
probe:20:01:54.32, resp:20:01:54.77, diff:+0.45
probe:20:01:59.34, resp:20:01:59.79, diff:+0.45
probe:20:02:04.34, resp:20:02:04.78, diff:+0.44
probe:20:02:09.34, resp:20:02:09.78, diff:+0.44
probe:20:02:14.34, resp:20:02:14.79, diff:+0.45
probe:20:02:19.34, resp:20:02:19.78, diff:+0.44
probe:20:02:24.34, resp:20:02:24.78, diff:+0.44
probe:20:02:29.35, resp:20:02:29.78, diff:+0.43
probe:20:02:34.35, resp:20:02:34.78, diff:+0.43
probe:20:02:39.35, resp:20:02:39.78, diff:+0.43
probe:20:02:44.35, resp:20:02:44.78, diff:+0.43
