probe:18:25:40.09, resp:18:25:36.88, diff:-3.22
probe:19:04:35.10, resp:19:04:35.47, diff:+0.36
probe:19:04:40.10, resp:19:04:40.48, diff:+0.37
probe:19:04:45.10, resp:19:04:45.48, diff:+0.37
probe:19:04:50.10, resp:19:04:50.43, diff:+0.32
probe:19:04:55.10, resp:19:04:55.43, diff:+0.32
probe:19:05:00.10, resp:19:05:00.01, diff:-0.09
probe:19:05:05.10, resp:19:05:04.42, diff:-0.69
probe:19:05:10.10, resp:19:05:08.81, diff:-1.29
probe:19:05:15.10, resp:19:05:13.20, diff:-1.91
probe:19:05:20.10, resp:19:05:17.59, diff:-2.51
probe:19:05:25.10, resp:19:05:22.33, diff:-2.77
probe:19:05:30.10, resp:19:05:27.34, diff:-2.76
probe:19:05:35.10, resp:19:05:32.34, diff:-2.76
probe:19:05:40.10, resp:19:05:37.35, diff:-2.75
probe:19:05:45.10, resp:19:05:42.35, diff:-2.75
probe:19:05:50.10, resp:19:05:47.35, diff:-2.75
probe:19:05:55.10, resp:19:05:52.36, diff:-2.74
probe:19:06:00.10, resp:19:05:57.36, diff:-2.74
probe:19:06:05.10, resp:19:06:02.36, diff:-2.74
probe:19:06:10.10, resp:19:06:07.38, diff:-2.73
probe:19:06:15.10, resp:19:06:12.38, diff:-2.73
probe:19:06:20.10, resp:19:06:17.38, diff:-2.73
probe:19:06:25.13, resp:19:06:22.41, diff:-2.72
probe:19:06:30.13, resp:19:06:27.41, diff:-2.72
probe:19:06:35.13, resp:19:06:32.42, diff:-2.71
probe:19:06:40.13, resp:19:06:37.42, diff:-2.71
probe:19:06:45.13, resp:19:06:42.43, diff:-2.70
probe:19:06:50.13, resp:19:06:47.43, diff:-2.70
probe:19:06:55.13, resp:19:06:52.43, diff:-2.70
probe:19:07:00.13, resp:19:06:57.44, diff:-2.69
probe:19:07:05.13, resp:19:07:02.44, diff:-2.69
probe:19:07:10.13, resp:19:07:07.43, diff:-2.70
probe:19:07:15.13, resp:19:07:12.23, diff:-2.90
probe:19:07:20.13, resp:19:07:17.14, diff:-2.99
probe:19:07:25.13, resp:19:07:21.79, diff:-3.33
probe:19:07:30.13, resp:19:07:26.79, diff:-3.33
probe:19:07:35.13, resp:19:07:31.79, diff:-3.33
probe:19:07:40.13, resp:19:07:36.79, diff:-3.33
probe:19:07:45.13, resp:19:07:41.79, diff:-3.33
probe:19:07:50.13, resp:19:07:46.79, diff:-3.33
probe:19:07:55.13, resp:19:07:51.79, diff:-3.33
probe:19:08:00.13, resp:19:07:56.79, diff:-3.33
probe:19:08:05.13, resp:19:08:01.78, diff:-3.34
probe:19:08:10.13, resp:19:08:06.78, diff:-3.34
probe:19:08:15.13, resp:19:08:11.78, diff:-3.34
probe:19:08:20.13, resp:19:08:16.78, diff:-3.34
probe:19:08:25.13, resp:19:08:21.78, diff:-3.34
probe:19:08:30.13, resp:19:08:26.78, diff:-3.34
probe:19:08:35.13, resp:19:08:31.78, diff:-3.34
probe:19:08:40.13, resp:19:08:36.77, diff:-3.35
probe:19:08:45.13, resp:19:08:41.77, diff:-3.35
probe:19:08:50.13, resp:19:08:46.75, diff:-3.37
probe:19:08:55.13, resp:19:08:51.75, diff:-3.38
probe:19:09:00.13, resp:19:09:02.23, diff:+2.10
probe:19:09:05.13, resp:19:09:07.23, diff:+2.10
probe:19:09:10.13, resp:19:09:11.85, diff:+1.73
probe:19:09:15.13, resp:19:09:16.27, diff:+1.15
probe:19:09:20.13, resp:19:09:20.72, diff:+0.59
probe:19:09:25.13, resp:19:09:25.08, diff:-0.04
probe:19:09:30.13, resp:19:09:29.84, diff:-0.28
probe:19:09:35.13, resp:19:09:34.84, diff:-0.28
probe:19:09:40.13, resp:19:09:39.83, diff:-0.29
probe:19:09:45.13, resp:19:09:44.82, diff:-0.30
probe:19:09:50.13, resp:19:09:49.82, diff:-0.30
probe:19:09:55.13, resp:19:09:54.64, diff:-0.49
probe:19:10:00.13, resp:19:09:59.30, diff:-0.82
probe:19:10:05.13, resp:19:10:04.30, diff:-0.82
probe:19:10:10.13, resp:19:10:09.30, diff:-0.82
probe:19:10:15.13, resp:19:10:14.01, diff:-1.11
probe:19:10:20.13, resp:19:10:18.64, diff:-1.49
probe:19:10:25.13, resp:19:10:23.64, diff:-1.49
probe:19:10:30.13, resp:19:10:28.64, diff:-1.49
probe:19:10:35.13, resp:19:10:33.58, diff:-1.54
probe:19:10:40.13, resp:19:10:37.99, diff:-2.14
probe:19:10:45.13, resp:19:10:42.56, diff:-2.56
probe:19:10:50.13, resp:19:10:47.56, diff:-2.56
probe:19:10:55.13, resp:19:10:52.56, diff:-2.56
probe:19:11:00.13, resp:19:10:57.56, diff:-2.56
probe:19:11:05.13, resp:19:11:02.56, diff:-2.56
probe:19:11:10.13, resp:19:11:07.56, diff:-2.56
probe:19:11:15.13, resp:19:11:12.56, diff:-2.56
probe:19:11:20.13, resp:19:11:17.56, diff:-2.56
probe:19:11:25.13, resp:19:11:22.29, diff:-2.83
probe:19:11:30.13, resp:19:11:26.75, diff:-3.37
probe:19:11:35.13, resp:19:11:31.28, diff:-3.84
probe:19:11:40.13, resp:19:11:36.28, diff:-3.84
probe:19:11:45.13, resp:19:11:41.27, diff:-3.85
probe:19:11:50.13, resp:19:11:46.27, diff:-3.85
probe:19:11:55.13, resp:19:11:51.27, diff:-3.85
probe:19:12:00.13, resp:19:11:56.27, diff:-3.85
probe:19:12:05.13, resp:19:12:01.27, diff:-3.85
probe:19:12:10.13, resp:19:12:06.27, diff:-3.85
probe:19:12:15.13, resp:19:12:11.04, diff:-4.08
probe:19:12:20.13, resp:19:12:15.48, diff:-4.65
probe:19:12:25.13, resp:19:12:19.92, diff:-5.21
probe:19:12:32.43, resp:19:12:24.39, diff:-8.04
probe:19:12:37.43, resp:19:12:29.39, diff:-8.04
probe:19:12:42.43, resp:19:12:34.39, diff:-8.04
probe:19:12:47.43, resp:19:12:39.39, diff:-8.04
probe:19:12:52.43, resp:19:12:44.39, diff:-8.04
probe:19:12:57.43, resp:19:12:49.39, diff:-8.04
probe:19:13:02.43, resp:19:12:54.39, diff:-8.04
probe:19:13:07.44, resp:19:12:59.38, diff:-8.06
probe:19:13:12.44, resp:19:13:04.38, diff:-8.06
probe:19:13:17.44, resp:19:13:09.38, diff:-8.06
probe:19:13:22.44, resp:19:13:14.38, diff:-8.06
probe:19:13:27.44, resp:19:13:19.33, diff:-8.10
probe:19:13:32.44, resp:19:13:23.75, diff:-8.68
probe:19:13:37.44, resp:19:13:28.17, diff:-9.27
probe:19:13:42.44, resp:19:13:32.60, diff:-9.83
probe:19:13:47.44, resp:19:13:37.40, diff:-10.04
probe:19:13:52.44, resp:19:13:42.13, diff:-10.31
probe:19:13:57.44, resp:19:13:46.56, diff:-10.87
probe:19:14:02.44, resp:19:13:51.00, diff:-11.43
probe:19:14:07.44, resp:19:14:07.36, diff:-0.07
probe:19:14:12.44, resp:19:14:11.77, diff:-0.66
probe:19:14:17.44, resp:19:14:16.73, diff:-0.71
probe:19:14:22.44, resp:19:14:21.73, diff:-0.71
probe:19:14:27.44, resp:19:14:26.73, diff:-0.71
probe:19:14:32.44, resp:19:14:31.73, diff:-0.71
probe:19:14:37.44, resp:19:14:36.73, diff:-0.71
probe:19:14:42.44, resp:19:14:41.73, diff:-0.71
probe:19:14:47.44, resp:19:14:46.73, diff:-0.71
probe:19:14:52.44, resp:19:14:51.72, diff:-0.72
probe:19:14:57.44, resp:19:14:56.72, diff:-0.72
probe:19:15:02.44, resp:19:15:01.72, diff:-0.72
probe:19:15:07.44, resp:19:15:06.72, diff:-0.72
probe:19:15:12.44, resp:19:15:11.65, diff:-0.79
probe:19:15:17.44, resp:19:15:16.07, diff:-1.36
probe:19:15:22.44, resp:19:15:20.50, diff:-1.94
probe:19:15:27.44, resp:19:15:24.94, diff:-2.50
probe:19:15:32.44, resp:19:15:29.91, diff:-2.53
probe:19:15:37.44, resp:19:15:34.91, diff:-2.53
probe:19:15:42.44, resp:19:15:39.91, diff:-2.53
probe:19:15:47.44, resp:19:15:44.91, diff:-2.53
probe:19:15:52.44, resp:19:15:49.91, diff:-2.53
probe:19:15:57.44, resp:19:15:54.91, diff:-2.53
probe:19:16:02.45, resp:19:15:59.91, diff:-2.54
probe:19:16:07.45, resp:19:16:04.49, diff:-2.96
probe:19:16:12.45, resp:19:16:08.91, diff:-3.54
probe:19:16:17.45, resp:19:16:13.75, diff:-3.69
probe:19:16:22.45, resp:19:16:18.75, diff:-3.69
probe:19:16:27.45, resp:19:16:23.75, diff:-3.69
probe:19:16:32.45, resp:19:16:28.52, diff:-3.92
probe:19:16:37.45, resp:19:16:32.93, diff:-4.52
probe:19:16:42.45, resp:19:16:37.51, diff:-4.93
probe:19:16:47.45, resp:19:16:42.21, diff:-5.24
probe:19:16:52.45, resp:19:16:47.21, diff:-5.24
probe:19:16:57.45, resp:19:16:52.21, diff:-5.24
probe:19:17:02.45, resp:19:16:57.21, diff:-5.24
probe:19:17:07.45, resp:19:17:01.89, diff:-5.56
probe:19:17:12.45, resp:19:17:06.31, diff:-6.13
probe:19:17:17.45, resp:19:17:10.74, diff:-6.71
probe:19:17:22.45, resp:19:17:15.40, diff:-7.05
probe:19:17:27.45, resp:19:17:20.40, diff:-7.05
probe:19:17:32.45, resp:19:17:25.40, diff:-7.05
probe:19:17:37.45, resp:19:17:30.08, diff:-7.36
probe:19:17:42.45, resp:19:17:34.89, diff:-7.56
probe:19:17:47.45, resp:19:17:39.29, diff:-8.15
probe:19:17:52.45, resp:19:17:44.29, diff:-8.15
probe:19:17:57.45, resp:19:17:49.29, diff:-8.15
probe:19:18:02.45, resp:19:17:53.94, diff:-8.51
probe:19:18:07.45, resp:19:17:58.36, diff:-9.08
probe:19:18:12.45, resp:19:18:03.35, diff:-9.09
probe:19:18:17.45, resp:19:18:08.35, diff:-9.09
probe:19:18:22.45, resp:19:18:13.21, diff:-9.24
probe:19:18:27.45, resp:19:18:18.13, diff:-9.32
probe:19:18:32.45, resp:19:18:23.13, diff:-9.32
probe:19:18:37.45, resp:19:18:28.13, diff:-9.32
probe:19:18:42.45, resp:19:18:33.13, diff:-9.32
probe:19:18:47.45, resp:19:18:37.97, diff:-9.48
probe:19:18:52.45, resp:19:18:42.97, diff:-9.48
probe:19:18:57.46, resp:19:18:47.97, diff:-9.49
probe:19:19:02.46, resp:19:18:52.96, diff:-9.50
probe:19:19:07.46, resp:19:19:07.50, diff:+0.05
probe:19:19:12.46, resp:19:19:12.20, diff:-0.26
probe:19:19:17.46, resp:19:19:16.70, diff:-0.76
probe:19:19:22.46, resp:19:19:21.09, diff:-1.36
probe:19:19:27.46, resp:19:19:25.48, diff:-1.98
probe:19:19:32.46, resp:19:19:30.45, diff:-2.01
probe:19:19:37.46, resp:19:19:35.45, diff:-2.01
probe:19:19:42.46, resp:19:19:40.45, diff:-2.01
probe:19:19:47.46, resp:19:19:44.92, diff:-2.54
probe:19:19:52.46, resp:19:19:49.48, diff:-2.98
probe:19:19:57.46, resp:19:19:53.90, diff:-3.56
probe:19:20:02.46, resp:19:19:58.30, diff:-4.15
probe:19:20:07.46, resp:19:20:02.72, diff:-4.74
probe:19:20:12.46, resp:19:20:07.14, diff:-5.32
probe:19:20:17.46, resp:19:20:11.61, diff:-5.84
probe:19:20:22.46, resp:19:20:16.61, diff:-5.84
probe:19:20:27.46, resp:19:20:21.61, diff:-5.84
probe:19:20:32.46, resp:19:20:26.18, diff:-6.28
probe:19:20:37.46, resp:19:20:30.93, diff:-6.53
probe:19:20:42.46, resp:19:20:35.66, diff:-6.80
probe:19:20:47.46, resp:19:20:40.66, diff:-6.80
probe:19:20:52.46, resp:19:20:45.65, diff:-6.81
probe:19:20:57.46, resp:19:20:50.65, diff:-6.81
probe:19:21:02.46, resp:19:20:55.46, diff:-7.00
probe:19:21:07.46, resp:19:21:00.33, diff:-7.12
probe:19:21:12.46, resp:19:21:05.33, diff:-7.12
probe:19:21:17.46, resp:19:21:10.33, diff:-7.12
probe:19:21:22.46, resp:19:21:15.33, diff:-7.12
probe:19:21:27.46, resp:19:21:20.33, diff:-7.12
probe:19:21:32.46, resp:19:21:25.33, diff:-7.12
probe:19:21:37.47, resp:19:21:30.33, diff:-7.13
probe:19:21:42.47, resp:19:21:35.33, diff:-7.13
probe:19:21:47.47, resp:19:21:40.33, diff:-7.13
probe:19:21:52.47, resp:19:21:45.32, diff:-7.14
probe:19:21:57.47, resp:19:21:49.99, diff:-7.48
probe:19:22:02.47, resp:19:21:54.42, diff:-8.05
probe:19:22:07.47, resp:19:21:58.82, diff:-8.64
probe:19:22:12.47, resp:19:22:03.24, diff:-9.23
probe:19:22:17.47, resp:19:22:07.67, diff:-9.80
probe:19:22:22.47, resp:19:22:12.25, diff:-10.22
probe:19:22:27.47, resp:19:22:16.67, diff:-10.80
probe:19:22:32.47, resp:19:22:21.07, diff:-11.39
probe:19:22:37.47, resp:19:22:25.50, diff:-11.97
probe:19:22:42.47, resp:19:22:29.91, diff:-12.56
probe:19:22:47.47, resp:19:22:34.31, diff:-13.15
probe:19:22:52.47, resp:19:22:38.97, diff:-13.50
probe:19:22:57.47, resp:19:22:43.97, diff:-13.50
probe:19:23:02.47, resp:19:22:48.97, diff:-13.50
probe:19:23:07.47, resp:19:22:53.97, diff:-13.50
probe:19:23:12.47, resp:19:22:58.97, diff:-13.50
probe:19:23:17.47, resp:19:23:03.97, diff:-13.50
probe:19:23:22.47, resp:19:23:08.97, diff:-13.50
probe:19:23:27.47, resp:19:23:13.97, diff:-13.50
probe:19:23:32.47, resp:19:23:18.97, diff:-13.50
probe:19:23:37.47, resp:19:23:23.97, diff:-13.50
probe:19:23:42.47, resp:19:23:28.96, diff:-13.51
probe:19:23:47.47, resp:19:23:33.96, diff:-13.51
probe:19:23:52.47, resp:19:23:38.96, diff:-13.51
probe:19:23:57.47, resp:19:23:43.64, diff:-13.83
probe:19:24:02.47, resp:19:23:48.03, diff:-14.43
probe:19:24:07.47, resp:19:23:52.46, diff:-15.01
probe:19:24:12.47, resp:19:24:12.94, diff:+0.47
probe:19:24:17.47, resp:19:24:17.94, diff:+0.47
probe:19:24:22.47, resp:19:24:22.94, diff:+0.47
probe:19:24:27.48, resp:19:24:27.94, diff:+0.46
probe:19:24:32.48, resp:19:24:32.94, diff:+0.46
probe:19:24:37.48, resp:19:24:37.94, diff:+0.46
probe:19:24:42.48, resp:19:24:42.94, diff:+0.46
probe:19:24:47.48, resp:19:24:47.94, diff:+0.46
probe:19:24:52.48, resp:19:24:52.94, diff:+0.46
probe:19:24:57.48, resp:19:24:57.93, diff:+0.45
probe:19:25:02.48, resp:19:25:02.93, diff:+0.45
probe:19:25:07.48, resp:19:25:07.93, diff:+0.45
probe:19:25:12.48, resp:19:25:12.93, diff:+0.45
probe:19:25:17.48, resp:19:25:17.93, diff:+0.45
probe:19:25:22.48, resp:19:25:22.93, diff:+0.45
probe:19:25:27.48, resp:19:25:27.93, diff:+0.45
probe:19:25:32.48, resp:19:25:32.93, diff:+0.45
probe:19:25:37.48, resp:19:25:37.57, diff:+0.10
probe:19:25:42.48, resp:19:25:42.31, diff:-0.16
probe:19:25:47.48, resp:19:25:46.78, diff:-0.69
probe:19:25:52.48, resp:19:25:51.21, diff:-1.27
probe:19:25:57.48, resp:19:25:56.13, diff:-1.35
probe:19:26:02.48, resp:19:26:00.85, diff:-1.62
probe:19:26:07.48, resp:19:26:05.49, diff:-1.99
probe:19:26:12.48, resp:19:26:10.42, diff:-2.06
probe:19:26:17.48, resp:19:26:15.42, diff:-2.06
probe:19:26:22.48, resp:19:26:20.42, diff:-2.06
probe:19:26:27.48, resp:19:26:25.09, diff:-2.38
probe:19:26:32.48, resp:19:26:29.50, diff:-2.98
probe:19:26:37.48, resp:19:26:34.41, diff:-3.07
probe:19:26:42.48, resp:19:26:39.41, diff:-3.07
probe:19:26:47.48, resp:19:26:44.31, diff:-3.16
probe:19:26:52.49, resp:19:26:49.26, diff:-3.22
probe:19:26:57.49, resp:19:26:54.26, diff:-3.22
probe:19:27:02.49, resp:19:26:59.25, diff:-3.23
probe:19:27:07.49, resp:19:27:04.25, diff:-3.23
probe:19:27:12.49, resp:19:27:09.25, diff:-3.23
probe:19:27:17.49, resp:19:27:14.25, diff:-3.23
probe:19:27:22.49, resp:19:27:19.25, diff:-3.23
probe:19:27:27.49, resp:19:27:24.25, diff:-3.23
probe:19:27:32.49, resp:19:27:29.25, diff:-3.23
probe:19:27:37.49, resp:19:27:33.96, diff:-3.53
probe:19:27:42.49, resp:19:27:38.35, diff:-4.13
probe:19:27:47.49, resp:19:27:42.92, diff:-4.57
probe:19:27:52.49, resp:19:27:47.54, diff:-4.94
probe:19:27:57.49, resp:19:27:52.50, diff:-4.98
probe:19:28:02.49, resp:19:27:57.50, diff:-4.98
probe:19:28:07.49, resp:19:28:02.50, diff:-4.99
probe:19:28:12.49, resp:19:28:07.00, diff:-5.49
probe:19:28:17.49, resp:19:28:11.43, diff:-6.06
probe:19:28:22.49, resp:19:28:15.80, diff:-6.68
probe:19:28:27.49, resp:19:28:20.67, diff:-6.82
probe:19:28:32.49, resp:19:28:25.23, diff:-7.26
probe:19:28:37.49, resp:19:28:30.10, diff:-7.38
probe:19:28:42.49, resp:19:28:35.10, diff:-7.38
probe:19:28:47.49, resp:19:28:40.10, diff:-7.38
probe:19:28:52.49, resp:19:28:45.10, diff:-7.38
probe:19:28:57.49, resp:19:28:49.63, diff:-7.86
probe:19:29:02.49, resp:19:28:54.06, diff:-8.42
probe:19:29:07.49, resp:19:29:08.04, diff:+0.56
probe:19:29:12.49, resp:19:29:13.04, diff:+0.56
probe:19:29:17.49, resp:19:29:18.04, diff:+0.56
probe:19:29:22.49, resp:19:29:23.03, diff:+0.55
probe:19:29:27.50, resp:19:29:28.03, diff:+0.54
probe:19:29:32.50, resp:19:29:33.03, diff:+0.54
probe:19:29:37.50, resp:19:29:38.03, diff:+0.54
probe:19:29:42.50, resp:19:29:43.03, diff:+0.54
probe:19:29:47.50, resp:19:29:48.03, diff:+0.54
probe:19:29:52.50, resp:19:29:53.03, diff:+0.54
probe:19:29:57.50, resp:19:29:57.54, diff:+0.05
probe:19:30:02.50, resp:19:30:01.97, diff:-0.53
probe:19:30:07.50, resp:19:30:06.71, diff:-0.79
probe:19:30:12.50, resp:19:30:11.66, diff:-0.84
probe:19:30:17.50, resp:19:30:16.66, diff:-0.84
probe:19:30:22.50, resp:19:30:21.65, diff:-0.85
probe:19:30:27.50, resp:19:30:26.64, diff:-0.86
probe:19:30:32.50, resp:19:30:31.64, diff:-0.86
probe:19:30:37.50, resp:19:30:36.63, diff:-0.87
probe:19:30:42.50, resp:19:30:41.61, diff:-0.88
probe:19:30:47.50, resp:19:30:46.61, diff:-0.88
probe:19:30:52.50, resp:19:30:51.54, diff:-0.95
probe:19:30:57.50, resp:19:30:56.25, diff:-1.24
probe:19:31:02.50, resp:19:31:01.25, diff:-1.24
probe:19:31:07.50, resp:19:31:06.25, diff:-1.24
probe:19:31:12.50, resp:19:31:11.25, diff:-1.25
probe:19:31:17.50, resp:19:31:16.25, diff:-1.25
probe:19:31:22.50, resp:19:31:21.25, diff:-1.25
probe:19:31:27.50, resp:19:31:25.84, diff:-1.65
probe:19:31:32.50, resp:19:31:30.27, diff:-2.22
probe:19:31:37.50, resp:19:31:35.27, diff:-2.22
probe:19:31:42.50, resp:19:31:40.27, diff:-2.22
probe:19:31:47.50, resp:19:31:45.27, diff:-2.22
probe:19:31:52.50, resp:19:31:50.27, diff:-2.22
probe:19:31:57.50, resp:19:31:55.27, diff:-2.22
probe:19:32:02.50, resp:19:32:00.27, diff:-2.23
probe:19:32:07.50, resp:19:32:05.27, diff:-2.23
probe:19:32:12.50, resp:19:32:10.26, diff:-2.24
probe:19:32:17.50, resp:19:32:15.26, diff:-2.24
probe:19:32:22.50, resp:19:32:20.26, diff:-2.24
probe:19:32:27.50, resp:19:32:25.26, diff:-2.24
probe:19:32:32.50, resp:19:32:30.26, diff:-2.24
probe:19:32:37.50, resp:19:32:35.26, diff:-2.24
probe:19:32:42.50, resp:19:32:40.26, diff:-2.24
probe:19:32:47.50, resp:19:32:45.26, diff:-2.24
probe:19:32:52.50, resp:19:32:50.25, diff:-2.25
probe:19:32:57.50, resp:19:32:55.26, diff:-2.24
probe:19:33:02.50, resp:19:33:00.25, diff:-2.25
probe:19:33:07.50, resp:19:33:05.25, diff:-2.25
probe:19:33:12.50, resp:19:33:10.25, diff:-2.25
probe:19:33:17.50, resp:19:33:15.25, diff:-2.25
probe:19:33:22.50, resp:19:33:20.25, diff:-2.25
probe:19:33:27.50, resp:19:33:25.25, diff:-2.25
probe:19:33:32.50, resp:19:33:30.25, diff:-2.26
probe:19:33:37.50, resp:19:33:34.75, diff:-2.76
probe:19:33:42.50, resp:19:33:39.22, diff:-3.29
probe:19:33:47.50, resp:19:33:43.66, diff:-3.85
probe:19:33:52.50, resp:19:33:48.15, diff:-4.36
probe:19:33:57.50, resp:19:33:52.86, diff:-4.64
probe:19:34:02.50, resp:19:34:03.42, diff:+0.91
probe:19:34:07.50, resp:19:34:08.42, diff:+0.91
probe:19:34:12.50, resp:19:34:13.42, diff:+0.91
probe:19:34:17.50, resp:19:34:17.96, diff:+0.45
probe:19:34:22.50, resp:19:34:22.36, diff:-0.14
probe:19:34:27.50, resp:19:34:27.24, diff:-0.27
probe:19:34:32.50, resp:19:34:32.23, diff:-0.28
probe:19:34:37.50, resp:19:34:37.23, diff:-0.28
probe:19:34:42.50, resp:19:34:42.23, diff:-0.28
probe:19:34:47.50, resp:19:34:47.23, diff:-0.28
probe:19:34:52.50, resp:19:34:52.23, diff:-0.28
probe:19:34:57.51, resp:19:34:57.23, diff:-0.29
probe:19:35:02.51, resp:19:35:02.23, diff:-0.29
probe:19:35:07.51, resp:19:35:07.23, diff:-0.29
probe:19:35:12.51, resp:19:35:12.23, diff:-0.29
probe:19:35:17.51, resp:19:35:16.93, diff:-0.59
probe:19:35:22.51, resp:19:35:21.52, diff:-0.99
probe:19:35:27.51, resp:19:35:26.52, diff:-0.99
probe:19:35:32.51, resp:19:35:31.52, diff:-0.99
probe:19:35:37.51, resp:19:35:36.14, diff:-1.38
probe:19:35:42.51, resp:19:35:40.79, diff:-1.72
probe:19:35:47.51, resp:19:35:45.79, diff:-1.72
probe:19:35:52.51, resp:19:35:50.79, diff:-1.72
probe:19:35:57.51, resp:19:35:55.79, diff:-1.72
probe:19:36:02.51, resp:19:36:00.79, diff:-1.72
probe:19:36:07.51, resp:19:36:05.79, diff:-1.72
probe:19:36:12.51, resp:19:36:10.79, diff:-1.72
probe:19:36:17.51, resp:19:36:15.79, diff:-1.72
probe:19:36:22.51, resp:19:36:20.32, diff:-2.19
probe:19:36:27.51, resp:19:36:24.76, diff:-2.75
probe:19:36:32.51, resp:19:36:29.73, diff:-2.79
probe:19:36:37.51, resp:19:36:34.27, diff:-3.24
probe:19:36:42.51, resp:19:36:38.68, diff:-3.84
probe:19:36:47.51, resp:19:36:43.07, diff:-4.44
probe:19:36:52.51, resp:19:36:47.70, diff:-4.82
probe:19:36:57.51, resp:19:36:52.09, diff:-5.42
probe:19:37:02.51, resp:19:36:56.50, diff:-6.01
probe:19:37:07.51, resp:19:37:00.96, diff:-6.56
probe:19:37:12.51, resp:19:37:05.38, diff:-7.14
probe:19:37:17.51, resp:19:37:09.80, diff:-7.71
probe:19:37:22.51, resp:19:37:14.22, diff:-8.30
probe:19:37:27.51, resp:19:37:18.67, diff:-8.85
probe:19:37:32.51, resp:19:37:23.07, diff:-9.44
probe:19:37:37.51, resp:19:37:27.60, diff:-9.91
probe:19:37:42.51, resp:19:37:32.60, diff:-9.91
probe:19:37:47.51, resp:19:37:37.59, diff:-9.92
probe:19:37:52.52, resp:19:37:42.59, diff:-9.93
probe:19:37:57.52, resp:19:37:47.59, diff:-9.93
probe:19:38:02.52, resp:19:37:52.59, diff:-9.93
probe:19:38:07.52, resp:19:37:57.59, diff:-9.93
probe:19:38:12.52, resp:19:38:02.58, diff:-9.94
probe:19:38:17.52, resp:19:38:07.58, diff:-9.94
probe:19:38:22.52, resp:19:38:12.25, diff:-10.27
probe:19:38:27.52, resp:19:38:17.25, diff:-10.28
probe:19:38:32.52, resp:19:38:22.25, diff:-10.28
probe:19:38:37.52, resp:19:38:27.25, diff:-10.28
probe:19:38:42.52, resp:19:38:32.24, diff:-10.29
probe:19:38:47.52, resp:19:38:37.03, diff:-10.49
probe:19:38:52.52, resp:19:38:41.44, diff:-11.09
probe:19:38:57.52, resp:19:38:46.04, diff:-11.48
probe:19:39:02.52, resp:19:38:50.73, diff:-11.80
probe:19:39:07.52, resp:19:39:08.64, diff:+1.11
probe:19:39:12.52, resp:19:39:13.64, diff:+1.11
probe:19:39:17.52, resp:19:39:18.64, diff:+1.11
probe:19:39:22.52, resp:19:39:23.64, diff:+1.11
probe:19:39:27.52, resp:19:39:28.64, diff:+1.11
probe:19:39:32.52, resp:19:39:33.64, diff:+1.11
probe:19:39:37.52, resp:19:39:38.64, diff:+1.11
probe:19:39:42.52, resp:19:39:43.28, diff:+0.76
probe:19:39:47.52, resp:19:39:47.70, diff:+0.17
probe:19:39:52.52, resp:19:39:52.13, diff:-0.40
probe:19:39:57.52, resp:19:39:57.13, diff:-0.40
probe:19:40:02.52, resp:19:40:02.13, diff:-0.40
probe:19:40:07.52, resp:19:40:06.86, diff:-0.66
probe:19:40:12.52, resp:19:40:11.27, diff:-1.25
probe:19:40:17.52, resp:19:40:15.69, diff:-1.84
probe:19:40:22.52, resp:19:40:20.09, diff:-2.43
probe:19:40:27.52, resp:19:40:24.69, diff:-2.84
probe:19:40:32.53, resp:19:40:29.69, diff:-2.85
probe:19:40:37.53, resp:19:40:34.68, diff:-2.86
probe:19:40:42.53, resp:19:40:39.68, diff:-2.86
probe:19:40:47.53, resp:19:40:44.68, diff:-2.86
probe:19:40:52.53, resp:19:40:49.68, diff:-2.86
probe:19:40:57.53, resp:19:40:54.68, diff:-2.86
probe:19:41:02.53, resp:19:40:59.68, diff:-2.86
probe:19:41:07.53, resp:19:41:04.68, diff:-2.86
probe:19:41:12.53, resp:19:41:09.68, diff:-2.86
probe:19:41:17.53, resp:19:41:14.67, diff:-2.87
probe:19:41:22.53, resp:19:41:19.67, diff:-2.87
probe:19:41:27.53, resp:19:41:24.67, diff:-2.87
probe:19:41:32.53, resp:19:41:29.67, diff:-2.87
probe:19:41:37.53, resp:19:41:34.67, diff:-2.87
probe:19:41:42.53, resp:19:41:39.67, diff:-2.87
probe:19:41:47.53, resp:19:41:44.67, diff:-2.87
probe:19:41:52.53, resp:19:41:49.67, diff:-2.87
probe:19:41:57.53, resp:19:41:54.67, diff:-2.87
probe:19:42:02.53, resp:19:41:59.66, diff:-2.88
probe:19:42:07.53, resp:19:42:04.66, diff:-2.88
probe:19:42:12.53, resp:19:42:09.66, diff:-2.88
probe:19:42:17.54, resp:19:42:14.59, diff:-2.95
probe:19:42:22.54, resp:19:42:19.00, diff:-3.54
probe:19:42:27.54, resp:19:42:23.56, diff:-3.98
probe:19:42:32.54, resp:19:42:28.51, diff:-4.03
probe:19:42:37.54, resp:19:42:32.90, diff:-4.65
probe:19:42:42.54, resp:19:42:37.31, diff:-5.23
probe:19:42:47.54, resp:19:42:42.28, diff:-5.26
probe:19:42:52.54, resp:19:42:47.27, diff:-5.27
probe:19:42:57.54, resp:19:42:52.27, diff:-5.27
probe:19:43:02.54, resp:19:42:57.28, diff:-5.26
probe:19:43:07.54, resp:19:43:01.94, diff:-5.61
probe:19:43:12.54, resp:19:43:06.39, diff:-6.16
probe:19:43:17.54, resp:19:43:11.15, diff:-6.40
